Entity,Code,Day,people_vaccinated
Alabama,,2021-01-12,70861
Alabama,,2021-01-13,74792
Alabama,,2021-01-14,80480
Alabama,,2021-01-15,86956
Alabama,,2021-01-19,114319
Alabama,,2021-01-20,121113
Alabama,,2021-01-21,144429
Alabama,,2021-01-22,174317
Alabama,,2021-01-23,193955
Alabama,,2021-01-24,213833
Alabama,,2021-01-25,220464
Alabama,,2021-01-26,223854
Alabama,,2021-01-27,232633
Alabama,,2021-01-28,241337
Alabama,,2021-01-29,256601
Alabama,,2021-01-30,288368
Alabama,,2021-01-31,298301
Alabama,,2021-02-01,301628
Alabama,,2021-02-02,312711
Alabama,,2021-02-03,324998
